pdp_id,worker_id,performance_review_id,plan_year,plan_status,career_aspiration,development_focus_area,development_method,promotion_readiness_target,mentor_assigned_worker_id,creation_date,target_completion_date,completion_percentage,linked_overall_rating,linked_potential_rating,linked_gen_ai_readiness,gen_ai_impact_level,gen_ai_role_category
PDP00008256,W00003174,PR00011262,2022,Completed,Senior Consultant,Project Management,Coaching,Ready in 2 Years,W00000741,2022-04-27,2022-09-30,95,2,Low,High,Medium,AI-Augmented Professional
PDP00008257,W00003174,PR00011263,2023,Completed,Practice Leader,People Management,Stretch Assignment,Ready in 1 Year,,2023-04-21,2023-12-31,95,4,High,Medium,Medium,AI-Augmented Professional
PDP00008258,W00003174,PR00011265,2025,Completed,Senior Manager,Strategic Thinking,Formal Training,Ready in 1 Year,W00002057,2025-02-11,2025-06-30,90,3,High,Low,Medium,AI-Augmented Professional
PDP00008259,W00003175,PR00011269,2024,Completed,Director,Strategic Thinking,Mentoring,Ready in 1 Year,W00004522,2024-04-07,2024-09-30,93,3,Moderate,High,High,AI Risk / Compliance
PDP00008260,W00003175,PR00011270,2025,In Progress,Partner,Leadership,Formal Training,Ready in 3+ Years,,2025-02-28,2025-06-30,67,3,Low,Medium,High,AI Risk / Compliance
PDP00008261,W00003175,PR00011271,2026,Completed,AI Transformation Lead,Digital Transformation,Mentoring,Ready in 3+ Years,,2026-04-24,2026-09-30,91,3,Moderate,High,High,AI Risk / Compliance
PDP00008262,W00003177,PR00011273,2026,Completed,Partner,Digital Transformation,Certification,Ready in 1 Year,W00002008,2026-03-14,2026-12-31,92,3,High,Low,High,AI Governance
PDP00008263,W00003178,PR00011274,2025,Completed,AI Transformation Lead,Digital Transformation,Stretch Assignment,Ready in 2 Years,W00004840,2025-04-30,2025-12-31,95,3,High,High,Medium,AI-Augmented Professional
PDP00008264,W00003179,PR00011277,2023,In Progress,Partner,Cloud Technologies,International Assignment,Ready in 1 Year,,2023-04-29,2023-12-31,71,3,Moderate,Medium,High,AI Risk / Compliance
PDP00008265,W00003179,PR00011278,2024,Completed,AI Transformation Lead,Client Relationship Management,Formal Training,Ready in 1 Year,,2024-03-03,2024-09-30,98,5,High,Medium,High,AI Risk / Compliance
PDP00008266,W00003179,PR00011279,2025,Not Started,Senior Manager,Client Relationship Management,Coaching,Ready in 3+ Years,W00001938,2025-04-30,2025-09-30,7,1,Moderate,High,High,AI Risk / Compliance
PDP00008267,W00003179,PR00011280,2026,In Progress,Manager,Executive Presence,Coaching,Ready in 2 Years,W00003886,2026-02-10,2026-06-30,27,5,High,High,High,AI Risk / Compliance
PDP00008268,W00003180,PR00011281,2022,Completed,Practice Leader,Strategic Thinking,Coaching,Ready in 1 Year,,2022-04-23,2022-06-30,96,4,Exceptional,High,Medium,AI-Augmented Professional
PDP00008269,W00003180,PR00011282,2023,Completed,Manager,Data Analytics,Mentoring,Ready in 2 Years,,2023-01-27,2023-12-31,95,3,Moderate,High,Medium,AI-Augmented Professional
PDP00008270,W00003180,PR00011284,2025,Completed,Practice Leader,Data Analytics,Mentoring,Ready in 3+ Years,,2025-04-25,2025-09-30,91,4,Low,Expert,Medium,AI-Augmented Professional
PDP00008271,W00003180,PR00011285,2026,Completed,AI Transformation Lead,Cybersecurity,Coaching,Ready Now,,2026-04-23,2026-12-31,93,3,Moderate,High,Medium,AI-Augmented Professional
PDP00008272,W00003181,PR00011286,2023,Completed,Senior Manager,Data Analytics,Stretch Assignment,Ready in 2 Years,W00002247,2023-02-02,2023-12-31,100,4,Moderate,Medium,Medium,AI-Augmented Professional
PDP00008273,W00003181,PR00011287,2024,Completed,Data and Analytics Lead,Data Analytics,Job Rotation,Ready in 1 Year,W00003057,2024-04-02,2024-12-31,99,3,Moderate,High,Medium,AI-Augmented Professional
PDP00008274,W00003182,PR00011289,2023,In Progress,Director,Client Relationship Management,Stretch Assignment,Ready in 2 Years,W00002356,2023-03-20,2023-12-31,57,2,Low,High,Medium,AI Governance
PDP00008275,W00003182,PR00011292,2026,In Progress,Senior Manager,Digital Transformation,Client Engagement,Ready in 1 Year,W00001237,2026-04-07,2026-09-30,62,4,High,Expert,Medium,AI Governance
PDP00008276,W00003184,PR00011293,2025,Completed,Manager,People Management,Mentoring,Ready in 3+ Years,,2025-02-10,2025-12-31,93,3,High,Low,Medium,AI Governance
PDP00008277,W00003185,PR00011295,2022,Completed,Global Mobility Assignment,Communication Skills,Mentoring,Ready in 2 Years,W00004929,2022-04-22,2022-06-30,96,5,High,Low,Medium,AI Governance
PDP00008278,W00003185,PR00011299,2026,In Progress,Practice Leader,Executive Presence,Mentoring,Ready in 1 Year,W00004942,2026-04-05,2026-12-31,86,5,Moderate,Low,Medium,AI Governance
PDP00008279,W00003186,PR00011300,2022,In Progress,Partner,Strategic Thinking,Stretch Assignment,Ready Now,W00003439,2022-02-07,2022-06-30,67,4,Exceptional,Low,Medium,AI-Augmented Professional
PDP00008280,W00003186,PR00011303,2025,Completed,Manager,Project Management,Coaching,Ready in 1 Year,,2025-02-07,2025-09-30,95,3,Moderate,Medium,Medium,AI-Augmented Professional
PDP00008281,W00003186,PR00011304,2026,Completed,Senior Consultant,Coaching Others,Certification,Ready in 2 Years,W00002320,2026-04-19,2026-12-31,90,3,Moderate,Medium,Medium,AI-Augmented Professional
PDP00008282,W00003187,PR00011305,2022,In Progress,Senior Consultant,Operational Excellence,Client Engagement,Ready in 3+ Years,W00002516,2022-02-26,2022-09-30,42,2,Moderate,Low,Low,AI User
PDP00008283,W00003187,PR00011307,2024,In Progress,Director,Cloud Technologies,Job Rotation,Ready in 3+ Years,W00001494,2024-03-19,2024-09-30,73,4,Moderate,Low,Low,AI User
PDP00008284,W00003187,PR00011308,2025,Completed,Senior Manager,Coaching Others,Formal Training,Ready Now,W00002016,2025-01-18,2025-06-30,96,3,Moderate,Medium,Low,AI User
PDP00008285,W00003187,PR00011309,2026,Deferred,Senior Consultant,Cloud Technologies,Mentoring,Ready in 1 Year,,2026-04-14,2026-06-30,33,3,Exceptional,High,Low,AI User
PDP00008286,W00003188,PR00011310,2022,In Progress,Director,Industry Expertise,Shadow Program,Ready in 2 Years,W00003982,2022-01-26,2022-06-30,63,4,Low,Low,Low,AI User
PDP00008287,W00003188,PR00011312,2024,Not Started,Senior Manager,Client Relationship Management,Job Rotation,Ready in 2 Years,W00000951,2024-03-16,2024-09-30,1,5,High,High,Low,AI User
PDP00008288,W00003188,PR00011313,2025,In Progress,Director,Leadership,Formal Training,Ready in 2 Years,,2025-02-28,2025-09-30,32,3,High,High,Low,AI User
PDP00008289,W00003188,PR00011314,2026,In Progress,Partner,Strategic Thinking,Coaching,Ready Now,W00000402,2026-02-19,2026-09-30,38,4,High,Low,Low,AI User
PDP00008290,W00003189,PR00011316,2023,Not Started,Practice Leader,Executive Presence,Job Rotation,Ready in 3+ Years,W00001033,2023-02-13,2023-09-30,2,3,Exceptional,High,High,AI Governance
PDP00008291,W00003189,PR00011317,2024,Not Started,AI Transformation Lead,People Management,Certification,Ready in 2 Years,W00002813,2024-03-17,2024-06-30,8,3,Moderate,High,High,AI Governance
PDP00008292,W00003189,PR00011319,2026,Completed,Technical Specialist,AI & GenAI,Certification,Ready in 3+ Years,W00000693,2026-03-31,2026-06-30,95,3,Moderate,Expert,High,AI Governance
PDP00008293,W00003190,PR00011320,2022,Completed,Director,Executive Presence,Formal Training,Ready in 2 Years,W00003257,2022-03-18,2022-09-30,90,3,Moderate,Medium,Medium,AI-Augmented Professional
PDP00008294,W00003190,PR00011321,2023,Completed,Practice Leader,Client Relationship Management,Mentoring,Ready in 2 Years,W00004332,2023-02-03,2023-06-30,92,4,Moderate,Low,Medium,AI-Augmented Professional
PDP00008295,W00003190,PR00011323,2025,Completed,Technical Specialist,Executive Presence,Mentoring,Ready in 3+ Years,W00004838,2025-04-05,2025-09-30,99,5,Low,Low,Medium,AI-Augmented Professional
PDP00008296,W00003191,PR00011325,2024,Completed,Data and Analytics Lead,People Management,Formal Training,Ready in 1 Year,W00002853,2024-02-13,2024-09-30,97,4,High,High,Critical,AI Builder
PDP00008297,W00003191,PR00011326,2025,Completed,Senior Consultant,Cloud Technologies,Client Engagement,Ready in 2 Years,W00001128,2025-04-23,2025-06-30,94,3,Moderate,High,Critical,AI Builder
PDP00008298,W00003192,PR00011328,2023,In Progress,Practice Leader,People Management,Formal Training,Ready in 3+ Years,W00001404,2023-02-27,2023-09-30,60,3,Low,Low,Medium,AI Governance
PDP00008299,W00003192,PR00011329,2024,Not Started,Manager,Communication Skills,Client Engagement,Ready in 3+ Years,W00003134,2024-03-23,2024-12-31,5,1,Low,Medium,Medium,AI Governance
PDP00008300,W00003192,PR00011331,2026,In Progress,Practice Leader,Digital Transformation,Formal Training,Ready Now,W00001373,2026-02-28,2026-06-30,88,4,Moderate,Medium,Medium,AI Governance
PDP00008301,W00003193,PR00011332,2026,Canceled,Senior Manager,Client Relationship Management,Certification,Ready Now,,2026-02-01,2026-06-30,23,4,High,Low,Medium,AI-Augmented Professional
PDP00008302,W00003194,PR00011334,2025,Completed,Manager,Cloud Technologies,Coaching,Ready in 2 Years,W00003921,2025-04-10,2025-09-30,91,3,Exceptional,Expert,Medium,AI-Augmented Professional
PDP00008303,W00003194,PR00011335,2026,Completed,Director,Strategic Thinking,Client Engagement,Ready in 2 Years,,2026-02-27,2026-12-31,93,3,Moderate,Medium,Medium,AI-Augmented Professional
PDP00008304,W00003195,PR00011337,2023,Completed,Manager,Executive Presence,Formal Training,Ready Now,W00000623,2023-03-01,2023-12-31,97,3,Low,Low,Medium,AI-Augmented Professional
PDP00008305,W00003195,PR00011338,2024,Canceled,Data and Analytics Lead,Executive Presence,Coaching,Ready in 2 Years,,2024-01-29,2024-12-31,7,3,Moderate,Low,Medium,AI-Augmented Professional
PDP00008306,W00003196,PR00011343,2025,Canceled,Senior Manager,Coaching Others,Stretch Assignment,Ready in 2 Years,W00004289,2025-02-16,2025-12-31,25,3,High,Medium,Medium,AI-Augmented Professional
PDP00008307,W00003196,PR00011344,2026,In Progress,Senior Consultant,Executive Presence,Stretch Assignment,Ready in 2 Years,W00003908,2026-02-14,2026-06-30,26,3,Moderate,Low,Medium,AI-Augmented Professional
PDP00008308,W00003197,PR00011345,2023,Completed,Manager,Client Relationship Management,Formal Training,Ready in 1 Year,,2023-03-13,2023-09-30,96,4,Low,Medium,Medium,AI Governance
PDP00008309,W00003197,PR00011346,2024,Completed,Senior Consultant,AI & GenAI,Stretch Assignment,Ready in 3+ Years,,2024-04-26,2024-12-31,95,3,High,High,Medium,AI Governance
PDP00008310,W00003197,PR00011347,2025,Completed,Senior Manager,Client Relationship Management,Coaching,Ready in 2 Years,W00000521,2025-02-03,2025-12-31,98,3,High,Medium,Medium,AI Governance
PDP00008311,W00003197,PR00011348,2026,Completed,AI Transformation Lead,Client Relationship Management,Job Rotation,Ready in 3+ Years,,2026-01-31,2026-06-30,92,4,Moderate,Low,Medium,AI Governance
PDP00008312,W00003198,PR00011349,2022,In Progress,Data and Analytics Lead,Cybersecurity,Coaching,Ready in 2 Years,,2022-04-15,2022-09-30,79,5,Moderate,High,Medium,AI Governance
PDP00008313,W00003198,PR00011351,2024,Completed,Director,People Management,Formal Training,Ready in 3+ Years,W00003139,2024-04-16,2024-09-30,98,4,Moderate,Expert,Medium,AI Governance
PDP00008314,W00003198,PR00011352,2025,In Progress,Manager,AI & GenAI,Stretch Assignment,Ready in 3+ Years,W00004282,2025-03-10,2025-06-30,82,4,Moderate,High,Medium,AI Governance
PDP00008315,W00003198,PR00011353,2026,Completed,Global Mobility Assignment,Project Management,Job Rotation,Ready in 2 Years,W00000616,2026-04-28,2026-12-31,100,2,High,Low,Medium,AI Governance
PDP00008316,W00003199,PR00011354,2022,Completed,Senior Manager,People Management,Stretch Assignment,Ready in 1 Year,,2022-03-29,2022-12-31,95,4,Exceptional,Low,Medium,AI-Augmented Professional
PDP00008317,W00003199,PR00011355,2023,Completed,Practice Leader,Leadership,Stretch Assignment,Ready in 2 Years,W00002487,2023-04-22,2023-12-31,98,4,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00008318,W00003199,PR00011357,2025,In Progress,Senior Manager,Project Management,Formal Training,Ready in 3+ Years,W00001068,2025-02-17,2025-12-31,25,4,Moderate,Low,Medium,AI-Augmented Professional
PDP00008319,W00003200,PR00011359,2024,In Progress,Senior Manager,Strategic Thinking,Coaching,Ready Now,,2024-03-25,2024-09-30,32,5,Exceptional,Low,Low,AI User
PDP00008320,W00003200,PR00011360,2025,Canceled,Senior Manager,Strategic Thinking,Mentoring,Ready in 3+ Years,W00001521,2025-04-29,2025-06-30,16,3,Exceptional,Low,Low,AI User
PDP00008321,W00003200,PR00011361,2026,In Progress,Technical Specialist,Leadership,Formal Training,Ready in 2 Years,,2026-02-03,2026-12-31,39,4,Moderate,Medium,Low,AI User
PDP00008322,W00003201,PR00011363,2023,In Progress,Manager,Technical Capability,Coaching,Ready in 3+ Years,W00004745,2023-04-10,2023-09-30,65,2,Low,High,Medium,AI-Augmented Professional
PDP00008323,W00003201,PR00011364,2024,Completed,Practice Leader,Client Relationship Management,Stretch Assignment,Ready Now,W00002994,2024-02-21,2024-12-31,99,5,Exceptional,Expert,Medium,AI-Augmented Professional
PDP00008324,W00003201,PR00011366,2026,Completed,Partner,Digital Transformation,Stretch Assignment,Ready in 1 Year,,2026-03-26,2026-09-30,94,3,High,High,Medium,AI-Augmented Professional
PDP00008325,W00003202,PR00011368,2023,In Progress,AI Transformation Lead,AI & GenAI,Job Rotation,Ready in 2 Years,,2023-01-20,2023-12-31,40,3,Moderate,Medium,High,AI Governance
PDP00008326,W00003202,PR00011369,2024,Canceled,Manager,Technical Capability,Coaching,Ready in 3+ Years,,2024-04-27,2024-09-30,20,2,Low,Medium,High,AI Governance
PDP00008327,W00003202,PR00011370,2025,In Progress,AI Transformation Lead,Cybersecurity,Stretch Assignment,Ready Now,,2025-03-12,2025-09-30,83,4,Moderate,High,High,AI Governance
PDP00008328,W00003202,PR00011371,2026,Completed,Data and Analytics Lead,AI & GenAI,Stretch Assignment,Ready in 3+ Years,W00001250,2026-04-09,2026-06-30,91,4,Moderate,Medium,High,AI Governance
PDP00008329,W00003203,PR00011372,2026,In Progress,Partner,Data Analytics,Certification,Ready in 2 Years,W00003826,2026-02-26,2026-06-30,69,4,Moderate,Expert,High,AI Governance
PDP00008330,W00003204,PR00011373,2023,In Progress,Practice Leader,Cybersecurity,Certification,Ready in 2 Years,,2023-03-22,2023-09-30,72,4,Moderate,Medium,Low,AI User
PDP00008331,W00003204,PR00011374,2024,Completed,Practice Leader,Executive Presence,International Assignment,Ready in 3+ Years,W00003912,2024-04-29,2024-12-31,90,5,Moderate,Low,Low,AI User
PDP00008332,W00003204,PR00011375,2025,Completed,Manager,Leadership,Certification,Ready in 1 Year,,2025-04-10,2025-06-30,98,4,High,Medium,Low,AI User
PDP00008333,W00003204,PR00011376,2026,Completed,AI Transformation Lead,Project Management,Client Engagement,Ready in 3+ Years,W00004000,2026-02-28,2026-09-30,97,4,Moderate,Low,Low,AI User
PDP00008334,W00003205,PR00011377,2022,Canceled,Practice Leader,Project Management,Coaching,Ready in 3+ Years,W00002150,2022-02-28,2022-09-30,5,2,Moderate,Expert,Critical,AI Builder
PDP00008335,W00003205,PR00011378,2023,In Progress,Senior Manager,Data Analytics,Stretch Assignment,Ready in 2 Years,W00001803,2023-04-30,2023-09-30,70,3,Low,Medium,Critical,AI Builder
PDP00008336,W00003205,PR00011379,2024,Completed,Data and Analytics Lead,Strategic Thinking,Client Engagement,Ready in 2 Years,W00002708,2024-01-22,2024-06-30,96,5,Low,High,Critical,AI Builder
PDP00008337,W00003205,PR00011381,2026,Completed,Global Mobility Assignment,Digital Transformation,Mentoring,Ready in 3+ Years,,2026-02-03,2026-12-31,100,3,High,Expert,Critical,AI Builder
PDP00008338,W00003206,PR00011382,2022,Completed,Global Mobility Assignment,Technical Capability,Coaching,Ready in 3+ Years,W00003019,2022-02-03,2022-12-31,93,2,Low,High,Medium,AI-Augmented Professional
PDP00008339,W00003206,PR00011383,2023,Completed,Partner,People Management,Certification,Ready in 1 Year,W00000539,2023-02-08,2023-09-30,90,5,Exceptional,High,Medium,AI-Augmented Professional
PDP00008340,W00003206,PR00011384,2024,Completed,Practice Leader,Strategic Thinking,Stretch Assignment,Ready in 3+ Years,W00003896,2024-04-03,2024-12-31,90,3,Moderate,Expert,Medium,AI-Augmented Professional
PDP00008341,W00003206,PR00011385,2025,Completed,Practice Leader,People Management,Certification,Ready in 1 Year,W00004504,2025-03-25,2025-09-30,100,4,High,Low,Medium,AI-Augmented Professional
PDP00008342,W00003206,PR00011386,2026,Deferred,Practice Leader,Operational Excellence,Mentoring,Ready in 3+ Years,W00003169,2026-03-25,2026-09-30,14,2,Low,Low,Medium,AI-Augmented Professional
PDP00008343,W00003207,PR00011388,2026,In Progress,Senior Manager,Leadership,Coaching,Ready in 1 Year,W00000794,2026-02-19,2026-09-30,43,4,High,Medium,Medium,AI-Augmented Professional
PDP00008344,W00003208,PR00011390,2023,Completed,Senior Manager,Cloud Technologies,Coaching,Ready in 3+ Years,W00004862,2023-04-28,2023-12-31,92,3,High,High,Low,AI User
PDP00008345,W00003208,PR00011392,2025,Not Started,Director,Data Analytics,Formal Training,Ready in 1 Year,W00003888,2025-03-16,2025-12-31,9,4,High,High,Low,AI User
PDP00008346,W00003209,PR00011394,2022,In Progress,Global Mobility Assignment,Digital Transformation,Coaching,Ready in 2 Years,W00002290,2022-03-23,2022-06-30,83,3,Exceptional,Expert,Critical,AI Builder
PDP00008347,W00003209,PR00011395,2023,In Progress,Partner,Cybersecurity,Formal Training,Ready Now,W00000767,2023-02-13,2023-06-30,70,3,Moderate,High,Critical,AI Builder
PDP00008348,W00003211,PR00011398,2026,Completed,Practice Leader,Leadership,Stretch Assignment,Ready in 1 Year,,2026-02-28,2026-12-31,92,4,Exceptional,High,Low,AI User
PDP00008349,W00003212,PR00011399,2025,Completed,Manager,People Management,Mentoring,Ready in 1 Year,,2025-03-23,2025-09-30,90,3,Moderate,Medium,Medium,AI-Augmented Professional
PDP00008350,W00003212,PR00011400,2026,In Progress,Director,People Management,Certification,Ready in 2 Years,,2026-04-04,2026-09-30,52,4,Moderate,Medium,Medium,AI-Augmented Professional
PDP00008351,W00003213,PR00011401,2025,Completed,Data and Analytics Lead,Data Analytics,Stretch Assignment,Ready Now,W00000074,2025-03-03,2025-06-30,100,4,High,High,Low,AI User
PDP00008352,W00003213,PR00011402,2026,Not Started,Senior Consultant,Data Analytics,Stretch Assignment,Ready in 2 Years,W00002252,2026-04-21,2026-12-31,9,3,Moderate,Expert,Low,AI User
PDP00008353,W00003214,PR00011403,2022,In Progress,Practice Leader,Leadership,Job Rotation,Ready in 3+ Years,W00002843,2022-02-15,2022-09-30,27,3,High,Expert,Low,AI User
PDP00008354,W00003214,PR00011404,2023,Not Started,Global Mobility Assignment,People Management,Stretch Assignment,Ready in 2 Years,W00001208,2023-04-18,2023-06-30,2,3,High,Low,Low,AI User
PDP00008355,W00003214,PR00011405,2024,In Progress,Manager,Client Relationship Management,Certification,Ready Now,,2024-04-21,2024-09-30,81,5,High,Expert,Low,AI User
PDP00008356,W00003214,PR00011406,2025,In Progress,Partner,Leadership,Job Rotation,Ready in 2 Years,W00004655,2025-03-14,2025-06-30,42,3,Moderate,Low,Low,AI User
PDP00008357,W00003214,PR00011407,2026,Deferred,Director,AI & GenAI,Formal Training,Ready in 3+ Years,,2026-03-23,2026-09-30,4,3,Moderate,Low,Low,AI User
PDP00008358,W00003216,PR00011409,2025,In Progress,Practice Leader,People Management,Formal Training,Ready in 3+ Years,W00003982,2025-01-19,2025-06-30,38,3,Moderate,High,High,AI Risk / Compliance
PDP00008359,W00003216,PR00011410,2026,Completed,Practice Leader,Data Analytics,Mentoring,Ready in 3+ Years,W00003619,2026-02-10,2026-09-30,95,4,Moderate,High,High,AI Risk / Compliance
PDP00008360,W00003217,PR00011414,2026,In Progress,Manager,Client Relationship Management,Mentoring,Ready Now,W00002046,2026-04-04,2026-06-30,77,4,High,High,High,AI Builder
PDP00008361,W00003218,PR00011415,2022,In Progress,Senior Manager,AI & GenAI,Stretch Assignment,Ready in 2 Years,,2022-03-09,2022-06-30,59,3,High,High,Medium,AI-Augmented Professional
PDP00008362,W00003218,PR00011417,2024,Completed,Manager,Digital Transformation,Client Engagement,Ready in 2 Years,W00000355,2024-04-27,2024-09-30,92,3,High,Low,Medium,AI-Augmented Professional
PDP00008363,W00003218,PR00011419,2026,Not Started,Senior Consultant,Leadership,Mentoring,Ready in 1 Year,,2026-04-10,2026-09-30,8,4,Moderate,Medium,Medium,AI-Augmented Professional
PDP00008364,W00003219,PR00011420,2024,Deferred,Senior Consultant,Leadership,Mentoring,Ready in 1 Year,,2024-02-14,2024-06-30,17,3,Moderate,Medium,Medium,AI-Augmented Professional
PDP00008365,W00003220,PR00011423,2022,Completed,Practice Leader,Leadership,Formal Training,Ready in 1 Year,,2022-02-12,2022-12-31,96,4,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00008366,W00003220,PR00011425,2024,In Progress,Manager,Digital Transformation,Stretch Assignment,Ready in 2 Years,W00002561,2024-04-20,2024-09-30,31,4,High,High,Medium,AI-Augmented Professional
PDP00008367,W00003220,PR00011427,2026,In Progress,Partner,Strategic Thinking,Formal Training,Ready in 1 Year,W00003694,2026-04-18,2026-09-30,27,4,High,Low,Medium,AI-Augmented Professional
PDP00008368,W00003221,PR00011428,2022,In Progress,Technical Specialist,Cybersecurity,Formal Training,Ready in 3+ Years,,2022-03-25,2022-06-30,62,3,Moderate,Low,Medium,AI-Augmented Professional
PDP00008369,W00003221,PR00011431,2025,In Progress,Senior Manager,Data Analytics,Mentoring,Ready in 3+ Years,,2025-02-09,2025-09-30,25,4,Moderate,Low,Medium,AI-Augmented Professional
PDP00008370,W00003222,PR00011434,2025,In Progress,Senior Consultant,Data Analytics,Certification,Ready in 3+ Years,W00004984,2025-03-19,2025-06-30,46,3,Exceptional,Medium,High,AI Governance
PDP00008371,W00003222,PR00011435,2026,Canceled,Technical Specialist,Cybersecurity,Stretch Assignment,Ready in 1 Year,W00004855,2026-04-15,2026-09-30,3,4,Moderate,High,High,AI Governance
PDP00008372,W00003223,PR00011437,2023,Completed,Global Mobility Assignment,Cybersecurity,Mentoring,Ready Now,W00003922,2023-03-22,2023-06-30,98,3,Moderate,Medium,Medium,AI-Augmented Professional
PDP00008373,W00003223,PR00011438,2024,Completed,Practice Leader,Cloud Technologies,Stretch Assignment,Ready in 1 Year,W00001372,2024-02-14,2024-06-30,99,5,High,Low,Medium,AI-Augmented Professional
PDP00008374,W00003223,PR00011439,2025,Completed,Manager,Client Relationship Management,Formal Training,Ready in 3+ Years,W00002942,2025-04-02,2025-06-30,99,3,Moderate,Expert,Medium,AI-Augmented Professional
PDP00008375,W00003223,PR00011440,2026,In Progress,Global Mobility Assignment,Digital Transformation,Certification,Ready Now,W00002838,2026-02-16,2026-09-30,32,3,Moderate,High,Medium,AI-Augmented Professional
PDP00008376,W00003224,PR00011441,2023,In Progress,Senior Manager,Leadership,Formal Training,Ready in 1 Year,W00001747,2023-02-16,2023-12-31,89,4,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00008377,W00003224,PR00011443,2025,Not Started,Senior Consultant,Client Relationship Management,Mentoring,Ready in 3+ Years,W00002707,2025-03-07,2025-12-31,8,2,Moderate,Low,Medium,AI-Augmented Professional
PDP00008378,W00003224,PR00011444,2026,Completed,AI Transformation Lead,Strategic Thinking,Coaching,Ready in 1 Year,W00000784,2026-01-17,2026-09-30,92,4,Moderate,Low,Medium,AI-Augmented Professional
PDP00008379,W00003225,PR00011445,2022,In Progress,Data and Analytics Lead,Technical Capability,Formal Training,Ready in 3+ Years,,2022-04-30,2022-12-31,33,2,Moderate,Medium,High,AI Governance
PDP00008380,W00003225,PR00011446,2023,Completed,Practice Leader,Digital Transformation,International Assignment,Ready in 2 Years,,2023-04-26,2023-09-30,97,4,Moderate,Medium,High,AI Governance
PDP00008381,W00003225,PR00011447,2024,In Progress,AI Transformation Lead,Digital Transformation,Certification,Ready in 2 Years,,2024-03-02,2024-06-30,79,4,Moderate,Expert,High,AI Governance
PDP00008382,W00003225,PR00011448,2025,Canceled,Practice Leader,Data Analytics,Stretch Assignment,Ready in 1 Year,W00000882,2025-03-27,2025-09-30,20,4,Moderate,Expert,High,AI Governance
PDP00008383,W00003225,PR00011449,2026,Deferred,AI Transformation Lead,Cybersecurity,Mentoring,Ready in 3+ Years,,2026-04-22,2026-12-31,0,4,Moderate,High,High,AI Governance
PDP00008384,W00003226,PR00011450,2022,Completed,Senior Manager,Leadership,Stretch Assignment,Ready in 1 Year,,2022-04-20,2022-06-30,98,5,High,Medium,Medium,AI-Augmented Professional
PDP00008385,W00003226,PR00011451,2023,In Progress,Practice Leader,Strategic Thinking,International Assignment,Ready in 1 Year,W00001912,2023-04-10,2023-09-30,74,5,Exceptional,Low,Medium,AI-Augmented Professional
PDP00008386,W00003226,PR00011452,2024,Completed,Data and Analytics Lead,Data Analytics,Coaching,Ready Now,W00002598,2024-03-09,2024-09-30,99,4,High,Expert,Medium,AI-Augmented Professional
PDP00008387,W00003226,PR00011453,2025,Completed,Practice Leader,Data Analytics,Job Rotation,Ready in 2 Years,,2025-01-31,2025-06-30,90,4,High,Low,Medium,AI-Augmented Professional
PDP00008388,W00003226,PR00011454,2026,In Progress,Practice Leader,People Management,International Assignment,Ready in 2 Years,,2026-03-07,2026-12-31,80,4,Exceptional,Expert,Medium,AI-Augmented Professional
PDP00008389,W00003227,PR00011455,2022,Completed,Data and Analytics Lead,Client Relationship Management,Mentoring,Ready in 3+ Years,W00001486,2022-01-18,2022-12-31,95,2,Moderate,High,Critical,AI Builder
PDP00008390,W00003227,PR00011456,2023,Completed,Partner,People Management,Mentoring,Ready in 1 Year,W00003097,2023-02-03,2023-09-30,92,5,Exceptional,Expert,Critical,AI Builder
PDP00008391,W00003227,PR00011457,2024,In Progress,Partner,Strategic Thinking,Job Rotation,Ready Now,,2024-03-17,2024-09-30,61,5,Exceptional,Expert,Critical,AI Builder
PDP00008392,W00003227,PR00011458,2025,Canceled,Data and Analytics Lead,AI & GenAI,Mentoring,Ready in 1 Year,,2025-01-23,2025-06-30,6,4,High,High,Critical,AI Builder
PDP00008393,W00003228,PR00011460,2025,Completed,Director,Client Relationship Management,Stretch Assignment,Ready in 1 Year,,2025-03-10,2025-09-30,94,4,Moderate,Medium,High,AI Product / Transformation
PDP00008394,W00003228,PR00011461,2026,Completed,Data and Analytics Lead,AI & GenAI,Stretch Assignment,Ready in 3+ Years,W00000400,2026-02-12,2026-06-30,96,3,Moderate,High,High,AI Product / Transformation
PDP00008395,W00003229,PR00011462,2022,Completed,Practice Leader,Leadership,Mentoring,Ready in 1 Year,W00003376,2022-03-14,2022-06-30,94,4,Exceptional,High,Medium,AI-Augmented Professional
PDP00008396,W00003229,PR00011466,2026,Deferred,Global Mobility Assignment,AI & GenAI,Formal Training,Ready in 1 Year,,2026-02-23,2026-09-30,39,4,Low,Expert,Medium,AI-Augmented Professional
PDP00008397,W00003230,PR00011469,2026,Completed,Technical Specialist,Cybersecurity,Coaching,Ready Now,W00001985,2026-02-27,2026-06-30,100,4,High,Expert,High,AI Governance
PDP00008398,W00003232,PR00011470,2023,Completed,Senior Consultant,Leadership,Coaching,Ready in 3+ Years,,2023-04-09,2023-12-31,92,3,Low,Low,Medium,AI-Augmented Professional
PDP00008399,W00003232,PR00011471,2024,In Progress,Senior Manager,Client Relationship Management,Coaching,Ready in 2 Years,,2024-02-02,2024-06-30,39,4,Exceptional,High,Medium,AI-Augmented Professional
